pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
99.45,-101.85,90.0,top,C1,,,C_1206_3216Metric,0.1uF,smt
129.9464,-99.1616,0.0,top,C2,,,C_1206_3216Metric,0.33uF,smt
120.396,-97.0788,90.0,top,D1,,SOT-23 Diodes Inc.,SOT23,PMEG3005ET-QR,smt
104.53,-85.67,0.0,top,D2,,PLCC-2 Würth Elektronik,WL-SMTW_3528,KA-3528SGT,smt
124.925,-106.3375,90.0,top,D3,,,SOT-23,BZX84C15,smt
120.0144,-92.5068,0.0,top,D4,,SUB SMA-2 Taiwan Semiconductor,SODFL3618X143N,BZD27C24P R3G,smt
117.17,-84.4,0.0,top,IC1,UCC23513QDWYRQ1,,SOIC127P1150X355-6N,UCC23513QDWYRQ1,smt
99.56,-94.68,0.0,top,J1,,,PinSocket_1x02_P2.00mm_Vertical,Conn_01x02_Pin,tht
136.0424,-96.1296,0.0,top,J2,,,PinSocket_1x02_P2.00mm_Vertical,Conn_01x02_Pin,tht
105.73,-92.63,0.0,top,R1,,,R_1206_3216Metric,130R,smt
105.73,-96.66,0.0,top,R2,,,R_1206_3216Metric,130R,smt
105.4725,-101.15,0.0,top,R3,,,R_1206_3216Metric,1.1k,smt
112.53,-92.4,0.0,top,TP1,,,Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork,TestPoint,tht
112.68,-98.31,0.0,top,TP2,,,Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork,TestPoint,tht
113.05,-103.62,0.0,top,TP3,,,Pin_D0.9mm_L10.0mm_W2.4mm_FlatFork,TestPoint,tht
118.54,-109.4,180.0,top,U1,,TO-220 STMicroelectronics,TO254P1040X460X1935-3,STP55NF06L,tht
129.3876,-90.5256,0.0,top,U2,,DPAK-3 ON Semiconductor,DPAK229P990X238-4N,MC7815CDTRKG,smt
